Com,HetAdv,HomAdv,Count,HetPrev,HomPrev
1.27,0.2358,-100,4294967295,0,0
1.27,0.262,-100,4294967295,0,0
1.27,0.29112,-100,4294967295,0,0
1.27,0.32346,-100,4294967295,0,0
1.27,0.3594,-100,4294967295,0,0
1.27,0.39934,-100,4294967295,0,0
1.27,0.44371,-100,4294967295,0,0
1.27,0.49301,-100,4294967295,0,0
1.27,0.54779,-100,4294967295,0,0
1.27,0.60865,-100,4294967295,0,0
1.27,0.67628,-100,4294967295,0,0
1.27,0.75142,-100,4294967295,0,0
1.27,0.83491,-100,4294967295,0,0
1.27,0.92768,-100,4294967295,0,0
1.27,1.0308,-100,4294967295,0,0
1.27,1.1453,-100,4294967295,0,0
1.27,1.2725,-100,4294967295,0,0
1.27,1.4139,-100,4294967295,0,0
1.27,1.571,-100,4294967295,0,0
1.27,1.7456,-100,4294967295,0,0
1.27,1.9396,-100,4294967295,0,0
1.27,2.1551,-100,4294967295,0,0
1.27,2.3945,-100,4294967295,0,0
1.27,2.6606,-100,4294967295,0,0
1.27,2.9562,-100,4294967295,0,0
1.27,3.2846,-100,4294967295,0,0
1.27,3.6496,-100,4294967295,0,0
1.27,4.0551,-100,4294967295,0,0
1.27,4.5057,-100,4294967295,0,0
1.27,5.0063,-100,4294967295,0,0
1.27,5.5626,-100,4294967295,0,0
1.27,6.1806,-100,4294967295,0,0
1.27,6.8674,-100,4294967295,0,0
1.27,7.6304,-100,4294967295,0,0
1.27,8.4782,-100,4294967295,0,0
1.27,9.4203,-100,4294967295,0,0
1.27,10.467,-100,4294967295,0,0
1.27,11.63,-100,4294967295,0,0
1.27,12.922,-100,4294967295,0,0
1.27,14.358,-100,4294967295,0,0
1.27,15.953,-100,4294967295,0.00015625,0
1.27,17.726,-100,4294967295,0.0002375,1.875E-5
1.27,19.695,-100,4294967295,0.0081056,0.00066375
1.27,21.884,-100,4294967295,0.94802,0.088134
1.27,24.315,-100,4294967295,9.0207,0.92385
1.27,27.017,-100,4294967295,14.363,1.5895
1.27,30.019,-100,4294967295,18.495,2.2081
1.27,33.354,-100,4294967295,21.949,2.8109
1.27,37.06,-100,4294967295,24.888,3.4226
1.27,41.178,-100,4294967295,27.495,4.0488
1.27,45.754,-100,4294967295,29.809,4.6722
1.27,50.837,-100,4294967295,31.821,5.3079
1.27,56.486,-100,4294967295,33.61,5.9413
1.27,62.762,-100,4294967295,35.172,6.5621
1.27,69.736,-100,4294967295,36.517,7.2185
1.27,77.484,-100,4294967295,37.679,7.8132
1.27,86.093,-100,4294967295,38.697,8.4384
1.27,95.659,-100,4294967295,39.531,9.0428
1.27,106.29,-100,4294967295,40.198,9.6037
1.27,118.1,-100,4294967295,40.742,10.139
1.27,131.22,-100,4294967295,41.131,10.646
1.27,145.8,-100,4294967295,41.438,11.108
1.27,162,-100,4294967295,41.586,11.553
1.27,180,-100,4294967295,41.606,11.968
1.27,200,-100,4294967295,41.568,12.336
1.412,9E-5,-100,4294967295,0,0
1.412,0.0001,-100,4294967295,0,0
1.412,0.00011,-100,4294967295,0,0
1.412,0.00012,-100,4294967295,0,0
1.412,0.00013,-100,4294967295,0,0
1.412,0.00015,-100,4294967295,0,0
1.412,0.00016,-100,4294967295,0,0
