Com,HetAdv,HomAdv,Count,1,200
1.427,0.00038,-100,11037,5997,0
1.427,0.00048,-100,11037,6020,0
1.427,0.0006,-100,11037,6012,0
1.427,0.00075,-100,11037,5983,0
1.427,0.00094,-100,11037,5935,0
1.427,0.00117,-100,11037,5943,0
1.427,0.00146,-100,11037,6025,0
1.427,0.00183,-100,11037,6091,0
1.427,0.00228,-100,11037,5974,0
1.427,0.00285,-100,11037,5968,0
1.427,0.00357,-100,11037,6007,0
1.427,0.00446,-100,11037,5904,0
1.427,0.00558,-100,11037,6019,0
1.427,0.00697,-100,11037,6028,0
1.427,0.00871,-100,11037,5991,0
1.427,0.01089,-100,11037,6094,0
1.427,0.01361,-100,11037,6056,0
1.427,0.01701,-100,11037,5976,0
1.427,0.02127,-100,11037,6053,0
1.427,0.02658,-100,11037,6079,0
1.427,0.03323,-100,11037,5948,0
1.427,0.04154,-100,11037,6056,0
1.427,0.05192,-100,11037,5983,0
1.427,0.0649,-100,11037,6013,0
1.427,0.08113,-100,11037,6009,0
1.427,0.10141,-100,11037,6008,0
1.427,0.12677,-100,11037,5923,0
1.427,0.15846,-100,11037,5943,0
1.427,0.19807,-100,11037,6035,0
1.427,0.24759,-100,11037,6029,0
1.427,0.30949,-100,11037,6053,0
1.427,0.38686,-100,11037,5971,0
1.427,0.48357,-100,11037,5866,0
1.427,0.60446,-100,11037,5938,0
1.427,0.75558,-100,11037,5892,0
1.427,0.94447,-100,11037,5882,0
1.427,1.1806,-100,11037,5932,0
1.427,1.4757,-100,11037,5832,0
1.427,1.8447,-100,11037,5953,0
1.427,2.3058,-100,11037,5913,0
1.427,2.8823,-100,11037,5934,0
1.427,3.6029,-100,11037,5726,0
1.427,4.5036,-100,11037,5672,0
1.427,5.6295,-100,11037,5814,0
1.427,7.0369,-100,11037,5662,0
1.427,8.7961,-100,11037,5574,0
1.427,10.995,-100,11037,5513,0
1.427,13.744,-100,11037,5435,0
1.427,17.18,-100,11037,5386,0
1.427,21.475,-100,11037,5164,0
1.427,26.843,-100,11037,5145,0
1.427,33.554,-100,11037,4921,0
1.427,41.943,-100,11037,4830,0
1.427,52.429,-100,11037,4731,0
1.427,65.536,-100,11037,4656,0
1.427,81.92,-100,11037,4682,0
1.427,102.4,-100,11037,4724,0
1.427,128,-100,11037,4872,0
1.427,160,-100,11037,5279,0
1.427,200,-100,11037,5776,0
1.784,8E-5,-100,11037,5983,0
1.784,0.0001,-100,11037,6002,0
1.784,0.00013,-100,11037,5995,0
1.784,0.00016,-100,11037,6044,0
1.784,0.0002,-100,11037,5902,0
1.784,0.00025,-100,11037,5962,0
1.784,0.00031,-100,11037,5978,0
1.784,0.00038,-100,11037,5938,0
1.784,0.00048,-100,11037,5958,0
1.784,0.0006,-100,11037,6041,0
1.784,0.00075,-100,11037,5932,0
1.784,0.00094,-100,11037,5885,0
1.784,0.00117,-100,11037,6013,0
1.784,0.00146,-100,11037,6017,0
1.784,0.00183,-100,11037,6011,0
1.784,0.00228,-100,11037,5976,0
1.784,0.00285,-100,11037,6010,0
1.784,0.00357,-100,11037,6052,0
1.784,0.00446,-100,11037,5958,0
1.784,0.00558,-100,11037,6006,0
1.784,0.00697,-100,11037,6074,0
1.784,0.00871,-100,11037,5951,0
1.784,0.01089,-100,11037,5982,0
1.784,0.01361,-100,11037,6106,0
1.784,0.01701,-100,11037,6034,0
1.784,0.02127,-100,11037,5974,0
1.784,0.02658,-100,11037,5949,0
1.784,0.03323,-100,11037,6007,0
1.784,0.04154,-100,11037,6084,0
1.784,0.05192,-100,11037,5909,0
1.784,0.0649,-100,11037,6048,0
1.784,0.08113,-100,11037,5957,0
1.784,0.10141,-100,11037,5951,0
1.784,0.12677,-100,11037,5911,0
1.784,0.15846,-100,11037,6059,0
1.784,0.19807,-100,11037,5939,0
1.784,0.24759,-100,11037,6017,0
1.784,0.30949,-100,11037,5988,0
1.784,0.38686,-100,11037,5982,0
1.784,0.48357,-100,11037,5882,0
1.784,0.60446,-100,11037,5960,0
1.784,0.75558,-100,11037,6069,0
1.784,0.94447,-100,11037,5977,0
1.784,1.1806,-100,11037,5984,0
1.784,1.4757,-100,11037,5977,0
1.784,1.8447,-100,11037,5828,0
1.784,2.3058,-100,11037,5764,0
1.784,2.8823,-100,11037,5739,0
